% Device,CC2240001
% File name,CC2240001_20230928_081103
% Cast time (UTC),2023-09-28 08:11:03
% Cast time (local),2023-09-28 10:11:03
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,59.8640132
% Start longitude,10.6999933
% Start altitude,45.027999877929688
% Start GPS horizontal error(Meter),2.7460000514984131
% Start GPS vertical error(Meter),3.7269999980926514
% Start GPS number of satellites,13
% End latitude,59.8637908
% End longitude,10.6991571
% End altitude,44.912998199462891
% End GPS horizontal error(Meter),9.1569995880126953
% End GPS vertical error(Meter),17.059000015258789
% End GPS number of satellites,12
% Cast duration (Seconds),240.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2022-10-07
% Temperature calibration date,2022-10-07
% Pressure calibration date,2022-10-04
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.15092273828635244,15.458987444411411,22798.30078125,28174.581497589017,17.19925054554075,1487.5590257427989,1012.2112726976795
0.44999999999999996,0.45275456064971659,15.466002247375563,22810.764513856295,28185.097670891981,17.206423097050124,1487.5953294143258,1012.2167841145682
0.74999999999999989,0.75458828409077894,15.476480598718563,22834.28941067704,28206.861210408628,17.221213089284266,1487.6518101748552,1012.2274609549003
1.05,1.0564093058087254,15.4994300209267,22969.955916408609,28358.369370309243,17.323073705688362,1487.8496139716178,1012.3023668023991
1.35,1.3582123955030914,15.508119077197238,23047.616275861787,28448.144225037238,17.383287439406089,1487.9524771392719,1012.3481332434628
1.65,1.6600039761847516,15.512603258835309,23099.691084021495,28509.265297563579,17.424231767602837,1488.0193079784897,1012.3799616867321
1.9500000000000002,1.9617910543374093,15.52123469824056,23102.878014600756,28507.124951456484,17.423001093615692,1488.0512001258028,1012.3787250138489
2.25,2.263578218348155,15.519367309118538,23100.889663125497,28505.985158764855,17.422117189151887,1488.0489742195598,1012.3797699519128
2.55,2.5653640035717995,15.525138640169624,23117.248007472514,28522.108477820315,17.433013271512149,1488.0854248514409,1012.3883599714039
2.85,2.8671441839492759,15.535238044465825,23170.202719281409,28580.321514165596,17.472198461889214,1488.1686674099192,1012.4177598007245
3.15,3.1689140685103743,15.556879807122334,23249.775922475266,28663.17136950004,17.528236742450741,1488.3092013668877,1012.4578270553486
3.4499999999999997,3.4706778674323897,15.571476363523159,23261.803533053349,28667.68185193216,17.53163963260354,1488.3659680495862,1012.4589787092885
